id;cnr;collection;comment;esac_key;esac_title;function;melstring;region;signature;source;text;tunefamily;unit
A0001;;ALTDEUTSCH;;G-min;Das Hildebrandslied;Romanze, Ballade, Lied;"1_  3b_3b_4_4_  5__5__
    0_5__5_  5_6_7b_5_  5__0_
    5_  5_6_7b_5_  6b__5__
    0_5_4_3b_  5_3b_3b__
    0_3b_3b_3b_  4_4_5__  5__0_
    5_  4_3b_3b_3b_  2__1__
    0_5_5_.4  3b__0_
    5_  6b_5_5_3b_  4__5__
    0_4_3b3b1_  1_-6_-7__  1__. //";Europa, Mitteleuropa, Deutschland;4/2;;;A0001;4
A0004A;;ALTDEUTSCH;;E-min;Herzog Ernst;Romanze, Ballade, Lied;"4_4_4_  4_5_6b_4_4__  0_
    6b_6b_6b_  5__4_5_4_4__
    4__5__4_3b_2b_1_1__  0_
    4_4_4_  4_5_6b_4_  4__  0_
    6b_6b_6b_  5__4_5_4_4__
    4__5__  4_3b_2b_1_1__  0_
    1_1_1_  3b_3b_4_4_  4__
    4_4_4_  3b_2b_1_-6b_  0_
    -6b_3b_3b_  3b_3b_4_4_  4__
    4_4_4_3b_  2b_1_1__  0_
    1_1_1_  3b_3b_1_-7b_  -6b__  0_
    -6b_3b_3b_  4_5_6b__5_4__3b2b1__
    4_  5__4_  3b__2b_  1__-6b_  -7b__1___ //";Europa, Mitteleuropa, Deutschland;FREE;;;A0004;4
A0004B;;ALTDEUTSCH;;A-maj;Herzog Ernst;Romanze, Ballade, Lied;"4_4_  44_4  6b44_
    045_5  6b_5  544
    6b  5_4  3b_2  1_1_ //";Europa, Mitteleuropa, Deutschland;FREE;;;A0004;4
A0004C;;ALTDEUTSCH;;E-maj;Herzog Ernst;Romanze, Ballade, Lied;"4  4144  456b6b  540
    6b  6b6b6b6b  7b6b5
    4  6b544  110
    4  4144  456b6b  540
    6b  6b6b6b6b  7b6b5
    4  6b544  11
    57b  6b543b  3b3b1-6b
    03b3b3b  3b3b3b4  3b0
    45  6b543b  41_2b  1__ //";Europa, Mitteleuropa, Deutschland;4/2;;;A0004;2
A0007;;ALTDEUTSCH;;G-maj;Der Graf von Rom oder der Graf im Pfluge;Romanze, Ballade, Lied;"1_  1_1_3_1_  5__5__0_
    5_  6_5_7b_5_  6__5__0_
    5_  3_3_4_6_  5__5__0_
    5_  3_5_5_3_  2__1__0_
    5_  5_.65_5_  3__2__0_
    2_  1__1_1__2_  3__2__0_
    -5_  1_1_2_2_  32345__0_
    5_  5_3_2_3_  2__1__0_ //";Europa, Mitteleuropa, Deutschland;4/2 6/2;;;A0007;4
A0008;;ALTDEUTSCH;;A-maj;Roland und Godelinde;310Romanze, Ballade, Lied;"1_.2  3b__1__-5__  1_.21__
    1_.2  3b__1__-5__  1_.21__
    1_.3b  2__-7b__-5__  -7b_.1-7b__
    -7b_.1  2__-7b__-6__  -5_.-6-5_0_
    -3b_.-4  -5__-5__-6b__  -7b_.1-7b__
    1_.1  -5__-5__1__  2_.3b2__
    1_.2  3b__1__-5__  1_.21__ //";Europa, Mitteleuropa, Flamen;3/4;;;A0008;16
A0013A;;ALTDEUTSCH;;E-min;Ritter Ulrich;Romanze, Ballade, Lied;"1_  1__4_4__3b_  4__5_6b__
    5_  4__4_3b_2b_1_  4__3b2b1__
    45  6b_5_4_3b__4_  1__-7b_-6b__0_
    3b__2b_1_2b_3b_  4_5_4_3b__4_  2b__.1__ //";Europa, Mitteleuropa, Deutschland;6/4;;;A0013;8
A0014;;ALTDEUTSCH;;E-min;Der Brautmoerder;Romanze, Ballade, Lied;"-5-5-5  1_.23b_2_  1__0
    555  4_.45_4_  3b__0
    7b7b7b  3b_.3b6b_5_  4__0
    -7b-7b-7b  3b4543b_2_  1__0 //";Europa, Mitteleuropa, Deutschland;4/4;;;A0014;8
A0015A;;ALTDEUTSCH;;C-maj;Halewyn;Romanze, Ballade, Lied;"1-6-7b  1_1  21-7b  -6_.
    1-7b-6  -5-4-5  -6-7b1  2_.
    23b2  1_2  1-6-7b  1_. //";Europa, Mitteleuropa, Deutschland;3/4;;;A0015;4
A0015B;;ALTDEUTSCH;;C-maj;Halewyn;Romanze, Ballade, Lied;"-7b-6-7b  1_.2_.  1_-7b-6_
    -6  -7b_-6-5_-6  -7b_12_.  0_
    23b_2  1_.2_.  1_-71_.  0_. //";Europa, Mitteleuropa, Brabant;6/8;;;A0015;8
A0016;;ALTDEUTSCH;;D-min;Es taget in dem Osten;Romanze, Ballade, Lied;"4_  1_1_3b_4_  6b__5__
    +1__  7b__6b_4__5_  7b_.6b545__0_
    0_5_6b_7b_  +1__7b_
    +1_  6b__5__  6b__.5_  4__0_
    5_  1__2_3b__4_  6b_.543b4__ //";Europa, Mitteleuropa, Niederlande;4/2 6/2;;;A0016;4
A0017;;ALTDEUTSCH;;G-maj;Es taget minnecliche;Romanze, Ballade, Lied;"1_  1__4_  3__2_  4_5_3_  2__
    6_  5__5_  3__3_  4_5_3_  2__
    1_  3__4_  5__6_  5_432_  1__
    2_  5__4_  3__2_  1__ //";Europa, Mitteleuropa, Deutschland, Niederdeutschland;3/2;;;A0017;4
A0018;;ALTDEUTSCH;;D-maj;Todtenamt;Romanze, Ballade, Lied;"1_  1_1_1_.4  5__3b_.
    2  1_4_543b2  3b__0_
    2_  4_5_43b21  4__5_
    3b2  1-71_3b21-7  1__0_ //";Europa, Mitteleuropa, Deutschland;4/2;;;A0018;4
A0019;;ALTDEUTSCH;;A-min;Ritter und Herzogstochter;Romanze, Ballade, Lied;"1  3b_3b4_4  5_5_
    5_  7b_7b6b_4  5_4_0
    4  5_55_7b  6b_5_
    5_  4_3b5_3b  2_1_0
    5  4_43b_1  23b4_
    4_  4_44_5  6b_5_
    5_  4_3b5_3b  2_1_0 //";Europa, Mitteleuropa, Deutschland, Heidelberg;FREE;;;A0019;2
A0020A;;ALTDEUTSCH;;A-min;Tageweis von der Koenigstochter und dem jungen Grafen;Romanze, Ballade, Lied;"1__  1__1_-7b__-5_  -7b__1__
    3b__  3b__5_3b__1_  -7b__1__
    1__  1__1_-7b__-5_  -7b__1__
    3b__  3b__5_3b__1_  -7b__1__
    3b__  3b__2_3b__1_  2_.1-7b__
    3b__  3b__2_3b__4_  5__3b_21
    -7b__3b__  3b__5_3b__1_  -7b__1__ //";Europa, Mitteleuropa, Deutschland;FREE;;;A0020;4
A0020B;;ALTDEUTSCH;;G-min;Tageweis von der Koenigstochter und dem jungen Grafen;Romanze, Ballade, Lied;"1__  2_1_-7b_-5_  -7b__1__0_
    1_  3b__3b_4__3b_  2__1__
    1__  2_1_-7b_-5_  -7b__1__0_
    1_  3b__3b_4__3b_  2__1__
    0_1_2_2_  5_4_3b_2_
    3b__.21  -7b__0_
    1_  3b_2_3b_4_  5__4_3b__21  -7b__0_
    1_  3b__3b_4__3b_  2__1__ //";Europa, Mitteleuropa, Deutschland;4/2 6/2;;;A0020;4
A0020C;;ALTDEUTSCH;;F-maj;Tageweis von der Koenigstochter und dem jungen Grafen;Romanze, Ballade, Lied;"1_  3__3_4__4_  5__5__0_
    5_  5__3_4__5_  3__2_1__
    1_  3__3_4__4_  5__5__0_
    5_  5__3_4__5_  3__2_1__
    5_  5__4_3__2_  1__2_3__
    5_  6_5_5_3_  5__4_32  3__0__
    4__  5__3_4__3_  2__1__0_ //";Europa, Mitteleuropa, Deutschland;4/2 6/2;;;A0020;4
A0020D;;ALTDEUTSCH;;F-maj;Tageweis von der Koenigstochter und dem jungen Grafen;Romanze, Ballade, Lied;"1_  3344  5_5_0
    5  5543  2_1_
    1_  3344  5_5_0
    5  5543  2_1_
    3_  3323  123_  0_
    5_  6553  54_3  2_1_  0_
    -5_  1234  2_1_ //";Europa, Mitteleuropa, Deutschland;4/2 6/2;;;A0020;2
A0021;;ALTDEUTSCH;;F-maj;Tanhaeuser;Romanze, Ballade, Lied;"1_1_1_  2_3_4_4_  3_2_0_
    2_  5_5_4_1_  2_3_4_0_
    2_4_3_.2  5_4_3__  0_
    2_3_4_  5_1_2__  1___  0_ //";Europa, Mitteleuropa, Deutschland;FREE;;;A0021;2
A0022;;ALTDEUTSCH;;C-maj;Tanhuser;Romanze, Ballade, Lied;"-5  1-71_2_  -7-4#-5_.
    1  45431_  2_3_0
    1  345_.1  234_.
    1  312_1_  -7_1_0 //";Europa, Mitteleuropa, Schweiz;3/4;;;A0022;8
A0023A;;ALTDEUTSCH;;G-min;Der Bremberger;Romanze, Ballade, Lied;"1_1_.1  3b_3b_5_5_  5__4__  3b__0__  0__.
    3b_  3b_21-7b_3b_  2__1__  -7b__0__  0__.
    -7b_  -7b__-6b_-5_  -7b__3b__  1__-7b__  1__0_
    3b_  4_3b21_-7b_  -6b___  -5___  0_ //";Europa, Mitteleuropa, Deutschland;4/2;;;A0023;4
A0023B;;ALTDEUTSCH;;G-min;Der Bremberger;Romanze, Ballade, Lied;"5_  3b__2_1__-7b_  1__2_3b__
    5_  3b__2_1__-7b_  1__2_3b__
    3b4  5__5_5_6b_5_  5__.4__
    23b  4__4_4_5_4_  4__.3b__
    3b2  1__543b_.423b  1__.0__ //";Europa, Mitteleuropa, Deutschland;6/8;;;A0023;16
A0024A;;ALTDEUTSCH;;G-min;Zwei Wasser. (Schwimmersage);Romanze, Ballade, Lied;"1_  1__3b_  2__1_  2_.3b4_  5__
    5_  4__2_  3b_1__  -7b__.  0__
    -7b_  2__3b_  4__3b_  1_.23b_  2__
    1_  -7b_-5__  1__-7_  1__ //";Europa, Mitteleuropa, Deutschland;FREE;;;A0024;2
A0024B;;ALTDEUTSCH;;G-maj;Zwei Wasser. (Schwimmersage);Romanze, Ballade, Lied;"1_  1_.23b_  2__1_  2_.3b4_  5__
    5_  4_.3b2_  3b_1__  -7b__.  0__
    -7b_  1_.23b_  4_.3b2_  1_.23b_  2__
    1_  -7b_-5__  1_.-7b-7b-6  1__ //";Europa, Mitteleuropa, Deutschland;FREE;;;A0024;2
A0024C;;ALTDEUTSCH;;G-maj;Zwei Wasser. (Schwimmersage);Romanze, Ballade, Lied;"1_  1_.23b_  2__1_  2_.3b4_  5__
    5_  4__2_  3b_1__  -7b__.  0__
    -7b_  2__3b_  4__3b_  1_.23b_  2__
    1_  -7b_-5_-7b_  1_2__  1__ //";Europa, Mitteleuropa, Deutschland;FREE;;;A0024;2
A0025;;ALTDEUTSCH;;G-min;Schwimmersage;Romanze, Ballade, Lied;"1_  1__3b_  2__1_  2_.3b4_  4__
    3_  4__2_  3b_2__  1__.  0__
    -7b_  2__3b_  4__3b_  1_.23b_  2__
    1_  -7b_-5__  1__-7_  1__ //";Europa, Mitteleuropa, Deutschland;3/2;;;A0025;4
