onset;duration;period;division;bar;beat;tatum;beat_duration;signature;pitch;phrase_id;phrase_begin;chord;chorus_id
0.5;0.25;4;4;1;2;1;0.5;4/4;74;1;1;Fmin7;1
0.75;0.25;4;4;1;2;3;0.5;4/4;77;1;0;Fmin7;1
1;0.25;4;4;1;3;1;0.5;4/4;79;1;0;Fmin7;1
1.25;0.25;4;4;1;3;3;0.5;4/4;82;1;0;Fmin7;1
1.5;0.25;4;4;1;4;1;0.5;4/4;81;1;0;Fmin7;1
1.75;0.25;4;4;1;4;3;0.5;4/4;80;1;0;Bbmin7;1
2;0.25;4;4;2;1;1;0.5;4/4;82;1;0;Bbmin7;1
2.25;0.25;4;4;2;1;3;0.5;4/4;80;1;0;Bbmin7;1
2.5;0.375;4;4;2;2;1;0.5;4/4;79;1;0;Bbmin7;1
2.875;0.125;4;4;2;2;4;0.5;4/4;77;1;0;Bbmin7;1
3;0.125;4;4;2;3;1;0.5;4/4;74;1;0;Bbmin7;1
4.125;0.25;4;4;3;1;2;0.5;4/4;65;2;1;Eb7;1
4.375;0.25;4;4;3;1;4;0.5;4/4;68;2;0;Eb7;1
4.625;0.25;4;4;3;2;2;0.5;4/4;70;2;0;Eb7;1
4.875;0.25;4;4;3;2;4;0.5;4/4;67;2;0;Eb7;1
5.125;0.125;4;4;3;3;2;0.5;4/4;66;2;0;Eb7;1
5.25;0.125;4;4;3;3;3;0.5;4/4;67;2;0;Eb7;1
5.375;0.125;4;4;3;3;4;0.5;4/4;70;2;0;Eb7;1
5.5;0.125;4;4;3;4;1;0.5;4/4;68;2;0;Eb7;1
5.625;0.125;4;4;3;4;2;0.5;4/4;70;2;0;Eb7;1
5.75;0.125;4;4;3;4;3;0.5;4/4;71;2;0;Eb7;1
5.875;0.125;4;4;3;4;4;0.5;4/4;68;2;0;Abmaj7;1
6;0.125;4;4;4;1;1;0.5;4/4;67;2;0;Abmaj7;1
6.125;0.125;4;4;4;1;2;0.5;4/4;70;2;0;Abmaj7;1
6.25;0.25;4;4;4;1;3;0.5;4/4;72;2;0;Abmaj7;1
6.5;0.25;4;4;4;2;1;0.5;4/4;73;2;0;Abmaj7;1
6.75;0.125;4;4;4;2;3;0.5;4/4;74;2;0;Abmaj7;1
6.875;0.125;4;4;4;2;4;0.5;4/4;73;2;0;Abmaj7;1
7;0.125;4;4;4;3;1;0.5;4/4;72;2;0;Abmaj7;1
7.125;0.125;4;4;4;3;2;0.5;4/4;71;2;0;Abmaj7;1
7.25;0.125;4;4;4;3;3;0.5;4/4;70;2;0;Abmaj7;1
7.375;0.125;4;4;4;3;4;0.5;4/4;69;2;0;Abmaj7;1
7.5;0.25;4;4;4;4;1;0.5;4/4;68;2;0;Dbmaj7;1
7.75;0.25;4;4;4;4;3;0.5;4/4;70;2;0;Dbmaj7;1
8;0.25;4;4;5;1;1;0.5;4/4;72;2;0;Dbmaj7;1
8.375;0.125;4;4;5;1;4;0.5;4/4;61;3;1;Dbmaj7;1
8.5;0.125;4;4;5;2;1;0.5;4/4;61;3;0;Dbmaj7;1
8.625;0.125;4;4;5;2;2;0.5;4/4;57;3;0;Dbmaj7;1
8.75;0.25;4;4;5;2;3;0.5;4/4;56;3;0;Dbmaj7;1
9;0.125;4;4;5;3;1;0.5;4/4;56;3;0;Dbmaj7;1
9.125;0.125;4;4;5;3;2;0.5;4/4;53;3;0;Dbmaj7;1
9.25;0.25;4;4;5;3;3;0.5;4/4;63;3;0;Dbmaj7;1
9.5;0.375;4;4;5;4;1;0.5;4/4;64;3;0;Dbmaj7;1
11.25;0.25;4;4;6;3;3;0.5;4/4;74;4;1;G7;1
11.5;0.25;4;4;6;4;1;0.5;4/4;73;4;0;G7;1
11.75;0.25;4;4;6;4;3;0.5;4/4;72;4;0;G7;1
12;0.375;4;4;7;1;1;0.5;4/4;71;4;0;G7;1
12.375;0.125;4;4;7;1;4;0.5;4/4;72;4;0;Cmaj7;1
12.5;0.25;4;4;7;2;1;0.5;4/4;76;4;0;Cmaj7;1
12.75;0.375;4;4;7;2;3;0.5;4/4;75;4;0;Cmaj7;1
13.125;0.375;4;4;7;3;2;0.5;4/4;74;4;0;Cmaj7;1
14.5;0.25;4;4;8;2;1;0.5;4/4;60;5;1;Cmaj7;1
14.75;0.25;4;4;8;2;3;0.5;4/4;61;5;0;Cmaj7;1
15;0.25;4;4;8;3;1;0.5;4/4;57;5;0;Cmaj7;1
15.25;0.25;4;4;8;3;3;0.5;4/4;60;5;0;Cmaj7;1
15.5;0.25;4;4;8;4;1;0.5;4/4;61;5;0;Cmaj7;1
15.75;0.125;4;4;8;4;3;0.5;4/4;60;5;0;Cmin7;1
15.875;0.125;4;4;8;4;4;0.5;4/4;59;5;0;Cmin7;1
16;0.125;4;4;9;1;1;0.5;4/4;55;5;0;Cmin7;1
16.125;0.125;4;4;9;1;2;0.5;4/4;57;5;0;Cmin7;1
16.25;0.125;4;4;9;1;3;0.5;4/4;58;5;0;Cmin7;1
16.375;0.125;4;4;9;1;4;0.5;4/4;60;5;0;Cmin7;1
16.5;0.125;4;4;9;2;1;0.5;4/4;62;5;0;Cmin7;1
16.625;0.25;4;4;9;2;2;0.5;4/4;63;5;0;Cmin7;1
16.875;0.25;4;4;9;2;4;0.5;4/4;60;5;0;Cmin7;1
17.125;0.25;4;4;9;3;2;0.5;4/4;58;5;0;Cmin7;1
17.375;0.25;4;4;9;3;4;0.5;4/4;60;5;0;Cmin7;1
17.625;0.25;4;4;9;4;2;0.5;4/4;62;5;0;Fmin7;1
